id,light_rag,hippo_rag,gpt_4o_no_rag
25,5,1,3
26,5,4,2
27,5,5,3
28,5,2,1
29,3,1,5
30,5,5,5
31,3,3,3
34,1,2,2
35,5,5,2
36,4,4,5
37,4,5,5
38,3,3,2
39,2,5,3
40,4,1,3
41,3,1,2
42,4,5,1
43,1,4,5
44,3,2,2
45,3,5,5
46,5,1,5
47,3,3,3
48,5,3,5
49,5,4,2
50,4,2,1
51,1,2,1
52,2,1,1
53,1,1,2
54,3,5,4
55,4,5,2
56,5,5,3
57,4,2,3
58,3,1,2
59,5,5,5
60,3,5,3
61,5,5,3
62,3,4,2
63,3,5,5
64,4,2,2
65,5,5,1
66,2,1,4
67,4,3,2
68,5,5,3
69,1,1,1
70,2,2,3
71,3,2,2
72,5,5,4
73,5,5,4
74,3,5,5
75,3,2,2
76,5,5,2
77,5,5,4
78,1,4,4
79,3,3,2
80,5,4,5
81,2,3,1
82,1,3,1
83,5,4,2
84,5,5,3
85,4,1,1
86,5,4,4
87,4,4,1
88,3,4,4
89,2,2,1
90,4,2,3
91,5,5,2
92,1,3,3
93,5,5,1
94,4,5,1
95,3,3,1
96,2,3,1
97,4,4,1
98,5,5,3
99,4,2,3
100,4,4,2
